,ID_number,isbn,num_pages,year_first_published,cover_imgae_url,genres,average_rating,number_ratings,title
11,151604,0884023745,425,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1599368708l/151604._SY475_.jpg,[],4.40,5,Tombs for the Living: Andean Mortuary Practices
12,224029,0201709074,368,2000,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348609789l/224029.jpg,['Science > Technology'],3.63,32,"It Architectures and Middleware: Strategies for Building Large, Integrated Systems"
13,151238,0816646872,272,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328853360l/151238.jpg,[],3.78,18,Bauhaus Culture: From Weimar To The Cold War
14,7620,0440498058,218,1962,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1507963312l/33574273._SX318_.jpg,"['Fantasy', 'Fiction', 'Classics', 'Young Adult', 'Science Fiction', 'Childrens', 'Childrens > Middle Grade', 'Science Fiction > Time Travel', 'Adventure', 'Science Fiction Fantasy']",3.99,1141432,A Wrinkle in Time
15,94593,1161394869,448,1881,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348434183l/94593.jpg,[],4.40,5,Demonology and Devil Lore Part 1
16,14832,1014725011,274,1921,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1588868191l/14832.jpg,[],0.00,0,"Thirty Years In Hell: Or, The Confessions Of A Drug Fiend"
17,126198,0451150333,416,1986,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348539947l/126198.jpg,"['Music', 'Biography', 'Nonfiction', 'History', 'Literature > American', 'Biography Memoir', 'Biography > Music Biography', 'Music > Rock N Roll']",3.86,619,Heroes And Villains: The True Story Of The Beach Boys
18,37080,1592401082,227,2005,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1437768353l/37080._SY475_.jpg,"['Religion > Buddhism', 'Psychology', 'Spirituality', 'Nonfiction', 'Philosophy', 'Self Help', 'Religion', 'Sexuality', 'Relationships', 'Health > Mental Health']",4.02,768,Open to Desire: The Truth about What the Buddha Taught
19,135167,2070401146,144,1992,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1309286962l/135167.jpg,"['Cultural > Russia', 'Fiction', 'Historical > Historical Fiction', 'War > World War II', 'Literature > Russian Literature', 'Childrens', 'Cultural > France']",3.92,215,Confessions of a Fallen Standard-Bearer
0,270100,0679442650,756,1999,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1386919721l/270100.jpg,"['Nonfiction', 'Science', 'Parenting', 'Anthropology', 'Psychology', 'Biology > Evolution', 'Feminism', 'Science > Biology', 'Sociology', 'History']",4.43,798,Mother Nature: Maternal Instincts and How They Shape the Human Species
1,97646,0972002804,320,2002,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347795815l/97646.jpg,"['Psychology', 'Self Help', 'Language > Communication', 'Leadership', 'Nonfiction', 'Spirituality', 'Self Help > Personal Development']",3.67,163,"Don't Be Nice, Be Real: Balancing Passion for Self with Compassion for Others"
2,28515,0553289071,480,1991,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320450670l/28515.jpg,"['Science Fiction', 'Fantasy', 'Fiction', 'Space > Space Opera', 'Science Fiction Fantasy', 'Anthologies > Collections', 'Novels', 'Literature', 'Space', 'Dungeons and Dragons > Dragonlance']",3.92,1517,King's Test
3,167031,2905408324,76,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1666370340l/15758486._SX318_.jpg,['Poetry'],4.03,33,Ångest
4,28555,0689860064,0,1979,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328020519l/28555.jpg,"['Fantasy', 'Science Fiction', 'Fantasy > Dragons', 'Fiction', 'Young Adult', 'Science Fiction Fantasy', 'Adventure', 'Young Adult > Teen', 'Fantasy > High Fantasy', 'Adult']",4.09,34517,Dragondrums
5,78489,0141439580,0,1815,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1386912824l/78489.jpg,"['Classics', 'Fiction', 'Romance', 'Historical > Historical Fiction', 'Literature', 'Historical', 'Audiobook', 'Literature > 19th Century', 'Classics > Classic Literature', 'Novels']",4.04,804877,Emma
6,277925,0060217766,199,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1462068512l/277925.jpg,"['Fantasy', 'Young Adult', 'Childrens', 'Childrens > Middle Grade', 'Fiction']",4.39,147,"Travel Far, Pay No Fare"
7,56310,1585420204,,1977,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1170455812l/56310.jpg,"['Nonfiction', 'Reference', 'Health', 'Self Help', 'Sports > Fitness', 'Spirituality']",3.91,581,Bikram's Beginning Yoga Class
8,192064,0316358460,64,1953,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1434919579l/165556._SX318_.jpg,"['Sequential Art > Comics', 'Sequential Art > Graphic Novels', 'Sequential Art > Bande Dessinée', 'Adventure', 'Fiction', 'Childrens', 'Graphic Novels Comics', 'Science Fiction', 'Comics > Comic Book', 'Cultural > France']",4.22,11760,Explorers on the Moon
9,197056,1843317672,275,2006,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1386913788l/197056.jpg,[],5.00,1,The Poetry of Anna Akhmatova: Living in Different Mirrors
10,31232,0553280635,486,1974,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348893767l/31232.jpg,"['Thriller', 'Fiction', 'Spy Thriller > Espionage', 'Mystery', 'Suspense', 'Action', 'Thriller > Spy Thriller', 'War', 'Thriller > Mystery Thriller', 'Adventure']",3.93,12737,The Rhinemann Exchange
11,14873,0743275012,507,2000,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1166668507l/14873.jpg,"['Fiction', 'Mystery', 'Contemporary', 'Womens Fiction > Chick Lit', 'Amish', 'Adult Fiction', 'Drama', 'Adult', 'Mystery > Crime', 'Realistic Fiction']",3.99,175590,La Pure Vérité
12,227428,0613749634,112,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1172876323l/227428._SX318_.jpg,[],3.60,5,Coach's Choice
13,59053,0312853807,352,1993,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1502924144l/59053.jpg,"['Fiction', 'Thriller', 'Economics > Finance']",3.70,177,Zero Coupon
14,203113,1575054175,32,1999,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348093091l/203113.jpg,"['Childrens > Picture Books', 'Nonfiction', 'Childrens', 'Poetry', 'Language > Writing', 'Humor', 'Humanities > Language', 'Teaching', 'Childrens > 1st Grade', 'Academic > School']",4.00,433,"A Mink, a Fink, a Skating Rink: What Is a Noun?"
15,67035,0812543262,480,1995,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1389576748l/67035.jpg,"['Horror', 'Thriller', 'Mystery', 'Fiction', 'Science Fiction', 'Thriller > Mystery Thriller', 'Suspense', 'Adventure', 'Fantasy', 'Mystery > Crime']",4.04,102712,Relic
16,160398,0859917797,180,1199,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1574774200l/160398._SX318_.jpg,"['Mythology > Arthurian', 'Historical > Medieval', 'Fantasy > Mythology', 'Poetry', 'Classics', 'Literature', 'Fiction', 'Academic > Read For School']",3.93,167,"Merlin And The Grail: Joseph Of Arimathea, Merlin, Perceval: The Trilogy Of Prose Romances Attributed To Robert De Boron"
17,129611,0917657497,32,1985,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347816820l/129611.jpg,"['Literature > Jewish', 'Childrens > Picture Books']",2.50,2,Bubbie and Zadie Come to My House: A Story of Hanukkah
18,67094,0671203231,383,1957,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328261327l/67094.jpg,"['Philosophy', 'Religion', 'Nonfiction', 'Religion > Atheism', 'Writing > Essays', 'Classics', 'Science', 'Religion > Christianity', 'Religion > Theology', 'Spirituality']",4.01,20181,Por qué no soy cristiano y otros ensayos
19,191557,1558615520,144,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388229081l/191557.jpg,"['Short Stories', 'Cultural > Italy', 'Literature', 'Fiction']",4.02,50,Behind Closed Doors: Her Father's House and Other Stories of Sicily
0,151434,0811202070,119,1940,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1172231044l/151434.jpg,"['Short Stories', 'Fiction', 'Poetry', 'Literature', 'Classics', 'European Literature > British Literature', 'Literature > 20th Century', 'Literary Fiction', 'Modern', 'Novels']",3.95,2030,Portrait of the Artist as a Young Dog
1,213426,1920888241,191,1968,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1172760542l/213426.jpg,"['Nonfiction', 'History', 'Politics', 'Biography', 'War', 'Autobiography > Memoir', 'Cultural > Bolivia', 'Biography Memoir', 'Diary', 'Biography > Autobiography']",3.71,2546,Diary of Che Guevara
2,249331,1418565105,224,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1173128354l/249331._SY475_.jpg,[],4.00,1,Seen and Heard: America's Youngest Political Pundit Tackles the Lies and Truths of Politics and Culture
3,214126,0233964762,400,1973,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348780621l/214126.jpg,"['History', 'War > World War II', 'War', 'Cultural > Germany', 'German History > Nazi Party', 'Politics']",3.97,32,"Hitler's War Aims: Ideology, the Nazi State, and the Course of Expansion"
4,83695,1857594916,128,2006,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1171046752l/83695._SX318_.jpg,[],2.00,1,Jeronimos Abbey of Santa Maria
5,242323,8845202178,320,1892,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1557133517l/242323.jpg,"['European Literature > Italian Literature', 'Fiction', 'Classics', 'Novels', 'Cultural > Italy', 'Literature', 'Literature > 19th Century', 'Unfinished', 'Literature > 20th Century']",3.50,1273,A Life
6,281192,0942110943,0,1990,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1530854102l/281192.jpg,"['Fantasy > Mythology', 'Nonfiction', 'Philosophy', 'Psychology']",4.44,109,The Message of the Myth: Power of Myth 2
